,year,round,game,home_team,away_team,home_score,away_score,winner
2014_14_6,2014,14,6,Kung Fu Russel,Doug and the Staff Infections,119.22,103.7,Kung Fu Russel
2014_15_1,2014,15,1,IT'S ON LIKE NDAMUKONG,Rivers of Babylon,122.02,90.58,IT'S ON LIKE NDAMUKONG
2014_15_2,2014,15,2,Settlers of Catanzaro,Doug and the Staff Infections,146.26,87.3,Settlers of Catanzaro
2014_15_3,2014,15,3,JOSH GORDON'S GANJA ARMY,Kung Fu Russel,65.28,88.52,Kung Fu Russel
2014_15_4,2014,15,4,Jordy 'Shaw,SERPION,85.8,89.5,SERPION
2014_16_1,2014,16,1,IT'S ON LIKE NDAMUKONG,SERPION,88.22,97.98,SERPION
2014_16_2,2014,16,2,Settlers of Catanzaro,Kung Fu Russel,86.2,99.66,Kung Fu Russel
2014_16_3,2014,16,3,Doug and the Staff Infections,JOSH GORDON'S GANJA ARMY,60.86,72.16,JOSH GORDON'S GANJA ARMY
2014_16_4,2014,16,4,Rivers of Babylon,Jordy 'Shaw,118.74,106.22,Rivers of Babylon
2015_1_1,2015,1,1,Fitzmagic in the air,Abdullah Akbar,66.74,99.24,Abdullah Akbar
2015_1_2,2015,1,2,SERPION,Breakdown Justice,97.24,126.8,Breakdown Justice
